cluster_id,n_children,stunting_rate,severe_rate,mean_haz,region,urban_rural,mean_wealth_q,mean_maternal_edu
214,4.0,75.0,0.0,-2.3449999999999998,4.0,2.0,2.4999999999999996,3.5000000000000004
215,7.0,0.0,0.0,0.08142857142857139,1.0,1.0,4.857142857142858,8.571428571428571
216,9.0,33.333333333333336,0.0,-0.8333333333333333,2.0,2.0,1.5555555555555558,2.2222222222222223
217,4.0,0.0,0.0,-0.6625,3.0,2.0,2.25,3.5
218,10.0,40.0,0.0,-1.746,5.0,2.0,3.1000000000000005,6.1000000000000005
219,8.0,50.0,37.5,-1.9462499999999998,5.0,2.0,2.0,3.625
220,5.0,0.0,0.0,-1.3179999999999998,2.0,2.0,1.4000000000000001,4.3999999999999995
221,8.0,12.5,0.0,-0.91,1.0,2.0,3.6250000000000004,6.0
222,7.0,42.85714285714285,14.285714285714283,-1.691428571428571,4.0,2.0,1.9999999999999998,2.999999999999999
223,7.0,42.85714285714286,0.0,-1.5514285714285712,4.0,2.0,3.0,4.857142857142858
224,8.0,12.5,0.0,-1.4575000000000002,4.0,2.0,3.625,6.0
225,5.0,60.0,40.0,-2.462,3.0,2.0,1.5999999999999999,2.4
226,9.0,33.333333333333336,11.111111111111112,-1.408888888888889,2.0,1.0,3.666666666666667,9.777777777777777
227,8.0,12.5,0.0,-1.1525,2.0,1.0,4.75,9.125000000000002
228,7.0,14.285714285714285,0.0,-1.0257142857142856,1.0,2.0,3.857142857142857,8.428571428571429
229,10.0,70.0,30.000000000000004,-2.67,3.0,2.0,1.5000000000000002,2.1
230,2.0,0.0,0.0,-0.79,2.0,2.0,2.9999999999999996,5.499999999999999
231,9.0,44.44444444444445,0.0,-1.4644444444444444,5.0,2.0,3.7777777777777777,7.000000000000001
232,2.0,50.0,0.0,-1.78,2.0,2.0,4.0,4.0
233,6.0,66.66666666666666,16.666666666666664,-2.1666666666666665,5.0,2.0,1.4999999999999998,4.833333333333332
234,10.0,20.0,10.0,-1.208,4.0,2.0,2.9,6.299999999999999
235,7.0,28.57142857142857,14.285714285714285,-1.8628571428571428,4.0,2.0,1.8571428571428572,2.2857142857142856
236,7.0,100.0,0.0,-2.3999999999999995,3.0,2.0,2.142857142857143,3.9999999999999996
237,9.0,66.66666666666666,44.44444444444444,-2.7244444444444444,5.0,2.0,1.7777777777777777,3.4444444444444446
238,6.0,33.33333333333333,0.0,-1.7266666666666666,4.0,2.0,2.8333333333333335,5.166666666666666
239,3.0,0.0,0.0,0.22666666666666666,1.0,1.0,4.666666666666668,9.666666666666668
240,3.0,33.333333333333336,0.0,-0.7366666666666667,1.0,1.0,4.666666666666667,8.0
241,3.0,33.33333333333333,0.0,-1.6799999999999997,3.0,2.0,1.6666666666666665,5.666666666666667
242,4.0,50.0,0.0,-1.8199999999999998,5.0,2.0,1.25,2.25
243,6.0,0.0,0.0,-0.595,2.0,1.0,4.5,8.833333333333336
244,4.0,25.0,0.0,-0.91,1.0,1.0,5.0,7.5
245,12.0,41.66666666666667,25.000000000000007,-1.7691666666666672,3.0,2.0,2.2500000000000004,3.1666666666666674
246,11.0,18.18181818181818,0.0,-1.2445454545454544,2.0,2.0,1.8181818181818175,5.181818181818182
247,3.0,33.33333333333333,0.0,-1.5166666666666666,2.0,1.0,3.0,4.0
248,10.0,20.000000000000004,0.0,-1.0740000000000003,2.0,1.0,3.7000000000000006,10.100000000000001
249,3.0,66.66666666666666,0.0,-2.453333333333333,3.0,2.0,1.6666666666666665,3.666666666666666
250,6.0,16.666666666666668,0.0,-1.5983333333333336,3.0,2.0,3.333333333333333,6.166666666666668
251,9.0,33.33333333333333,0.0,-0.8000000000000002,1.0,1.0,4.444444444444444,6.666666666666667
252,8.0,37.5,25.0,-1.9275,2.0,2.0,1.8749999999999998,4.25
253,6.0,33.33333333333333,0.0,-1.6983333333333335,2.0,2.0,1.6666666666666667,4.666666666666667
254,14.0,21.42857142857143,7.142857142857144,-1.0592857142857144,1.0,1.0,4.642857142857144,8.071428571428573
255,4.0,0.0,0.0,-1.3950000000000002,3.0,2.0,1.5,5.0
256,6.0,16.666666666666664,16.666666666666664,-1.716666666666667,2.0,2.0,1.3333333333333333,3.833333333333333
257,8.0,75.0,25.0,-2.47,3.0,2.0,1.25,3.75
258,8.0,25.0,0.0,-1.7625,4.0,2.0,2.2500000000000004,3.125
259,5.0,40.0,20.0,-1.9480000000000004,2.0,2.0,2.4000000000000004,4.4
260,4.0,50.0,0.0,-1.165,2.0,2.0,3.5000000000000004,5.749999999999999
261,4.0,50.0,0.0,-1.8925,2.0,2.0,2.0,6.0
262,6.0,50.0,16.666666666666664,-2.0033333333333334,2.0,2.0,2.333333333333334,6.166666666666668
263,4.0,75.0,0.0,-2.1799999999999997,2.0,2.0,1.0,2.0
264,9.0,44.44444444444445,11.111111111111112,-1.5844444444444445,2.0,2.0,1.3333333333333335,3.0
265,5.0,0.0,0.0,-1.588,5.0,2.0,2.8,2.9999999999999996
266,11.0,9.09090909090909,0.0,-0.8118181818181817,2.0,1.0,3.181818181818181,5.8181818181818175
267,2.0,0.0,0.0,-1.76,2.0,2.0,3.5,5.5
268,8.0,0.0,0.0,-1.1299999999999997,2.0,2.0,2.125,1.125
269,14.0,21.42857142857143,7.142857142857144,-1.2421428571428572,5.0,2.0,3.9285714285714293,7.071428571428572
270,8.0,37.5,12.5,-1.28375,4.0,2.0,3.8749999999999996,4.5
271,13.0,30.769230769230766,0.0,-1.628461538461538,3.0,2.0,2.692307692307692,4.076923076923076
272,7.0,14.285714285714285,0.0,-0.9171428571428571,2.0,2.0,2.8571428571428568,6.571428571428571
273,5.0,40.0,0.0,-2.008,3.0,2.0,2.0,2.8
274,11.0,27.27272727272727,0.0,-1.3499999999999999,3.0,1.0,4.8181818181818175,7.636363636363635
275,4.0,25.0,25.0,-1.1775,5.0,2.0,3.0000000000000004,5.499999999999999
276,12.0,41.66666666666666,16.666666666666664,-1.8416666666666663,3.0,1.0,1.9166666666666663,2.916666666666666
277,5.0,0.0,0.0,-0.616,3.0,2.0,3.8,5.2
278,9.0,22.22222222222222,11.11111111111111,-0.5355555555555556,1.0,1.0,4.666666666666667,5.5555555555555545
279,6.0,33.333333333333336,0.0,-1.4133333333333333,4.0,2.0,3.4999999999999996,5.166666666666666
280,5.0,60.00000000000001,20.0,-1.7540000000000004,5.0,2.0,3.2,4.800000000000001
281,7.0,42.85714285714287,14.285714285714288,-1.6157142857142863,2.0,2.0,3.1428571428571432,4.000000000000001
282,13.0,15.384615384615385,7.6923076923076925,-0.6492307692307693,3.0,2.0,4.0,6.153846153846156
283,14.0,35.71428571428573,14.28571428571429,-1.8000000000000007,5.0,2.0,1.8571428571428577,4.714285714285715
284,12.0,25.000000000000007,8.333333333333336,-1.294166666666667,5.0,2.0,2.7500000000000004,4.000000000000001
285,4.0,0.0,0.0,0.22249999999999995,1.0,1.0,5.0,10.000000000000002
